STATION_ID,LONGITUDE,LATITUDE,bairdi,bkc,ei,hybrid,opilio,rkc,TYPE
JI2120,-169.98,57.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
JI2221,-170.62,57.83,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,corner
JI2322,-171.27,57.83,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
JI2423,-171.95,57.83,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
JI2524,-172.55,57.83,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
JI2625,-173.15,57.83,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
K-01,-167.83,58.33,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
K-02,-167.18,58.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-03,-166.55,58.33,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-04,-165.92,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-05,-165.28,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-06,-164.63,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-07,-164,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-08,-163.37,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-09,-162.72,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-10,-162.05,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-11,-161.4,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-12,-160.75,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-13,-160.18,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-14,-159.55,58.33,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
K-18,-168.47,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-19,-169.12,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-20,-169.73,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-21,-170.38,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-22,-171.02,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-23,-171.65,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-24,-172.3,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-25,-172.93,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-26,-173.57,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
K-27,-174.32,58.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
KJ2322,-171.3,58.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
KJ2423,-172,58.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
KJ2524,-172.6,58.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
KJ2625,-173.32,58.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
KJ2726,-173.85,58.17,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,misc
L-01,-167.87,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-02,-167.22,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-03,-166.57,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-04,-165.93,58.67,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-05,-165.3,58.67,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-06,-164.65,58.67,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-07,-164,58.67,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-08,-163.35,58.67,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-09,-162.7,58.67,East 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-18,-168.5,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-19,-169.15,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-20,-169.78,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-21,-170.43,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-22,-171.08,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-23,-171.72,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
L-24,-172.37,58.67,West 166,BKC Unstratified,Northern Unstratified,Single,Single,Northern Unstratified,standard
